chapter,clause,recital
undefined,undefined,"AND WHEREAS it is necessary to create a collective culture that fosters a free and fair digital economy, respecting the informational privacy of individuals, and ensuring empowerment, progress and innovation through digital governance and inclusion and for matters connected therewith or incidental thereto."
undefined,undefined,BE it enacted by Parliament in the Seventieth Year of the Republic of India as follows:—
undefined,undefined,Short title and commencement.
undefined,undefined,Application of Act to processing of personal data.
undefined,undefined,Definitions.
CHAPTER I PRELIMINARY,undefined,"(1) This Act may be called the Personal Data Protection Act, 2019."
CHAPTER I PRELIMINARY,undefined,"(2) It shall come into force on such date as the Central Government may, by notification 5"
CHAPTER I PRELIMINARY,undefined,"in the Official Gazette, appoint; and different dates may be appointed for different provisions of this Act and any reference in any such provision to the commencement of this Act shall be construed as a reference to the coming into force of that provision."
CHAPTER I PRELIMINARY,undefined,"The provisions of this Act,—"
CHAPTER I PRELIMINARY,undefined,shall apply to—	10
CHAPTER I PRELIMINARY,undefined,"the processing of personal data where such data has been collected, disclosed, shared or otherwise processed within the territory of India;"
CHAPTER I PRELIMINARY,undefined,"the processing of personal data by the State, any Indian company, any citizen of India or any person or body of persons incorporated or created under Indian law;	15"
CHAPTER I PRELIMINARY,undefined,"the processing of personal data by data fiduciaries or data processors not present within the territory of India, if such processing is—"
CHAPTER I PRELIMINARY,undefined,"in connection with any business carried on in India, or any systematic activity of offering goods or services to data principals within"
CHAPTER I PRELIMINARY,undefined,the territory of India; or	20
CHAPTER I PRELIMINARY,undefined,in connection with any activity which involves profiling of data principals within the territory of India.
CHAPTER I PRELIMINARY,undefined,"shall not apply to the processing of anonymised data, other than the anonymised data referred to in section 91."
CHAPTER I PRELIMINARY,undefined,"In this Act, unless the context otherwise requires,—	25"
CHAPTER I PRELIMINARY,undefined,"""Adjudicating Officer"" means the Adjudicating Officer appointed as such under sub-section (1) of section 62;"
CHAPTER I PRELIMINARY,undefined,"""anonymisation"" in relation to personal data, means such irreversible process of transforming or converting personal data to a form in which a data principal cannot"
CHAPTER I PRELIMINARY,undefined,"be identified, which meets the standards of irreversibility specified by the Authority;	30"
CHAPTER I PRELIMINARY,undefined,"""anonymised data"" means data which has undergone the process of anonymisation;"
CHAPTER I PRELIMINARY,undefined,"""Appellate Tribunal"" means the Tribunal established under sub-section (1) or notified under sub-section (4) of section 67;"
CHAPTER I PRELIMINARY,undefined,"""Authority"" means the Data Protection Authority of India established under	35"
CHAPTER I PRELIMINARY,undefined,sub-section (1) of section 41;
CHAPTER I PRELIMINARY,undefined,"""automated means"" means any equipment capable of operating automatically in response to instructions given for the purpose of processing data;"
CHAPTER I PRELIMINARY,undefined,"""biometric data"" means facial images, fingerprints, iris scans, or any other similar personal data resulting from measurements or technical processing operations	40"
CHAPTER I PRELIMINARY,undefined,"carried out on physical, physiological, or behavioural characteristics of a data principal, which allow or confirm the unique identification of that natural person;"
CHAPTER I PRELIMINARY,undefined,"""child"" means a person who has not completed eighteen years of age;"
CHAPTER I PRELIMINARY,undefined,"""code of practice"" means a code of practice issued by the Authority under section 50;"
CHAPTER I PRELIMINARY,undefined,"""consent"" means the consent referred to in section 11;"
CHAPTER I PRELIMINARY,undefined,"""data"" includes a representation of information, facts, concepts, opinions or instructions in a manner suitable for communication, interpretation or processing by humans or by automated means;"
CHAPTER I PRELIMINARY,undefined,"""data auditor"" means an independent data auditor referred to in section 29;"
CHAPTER I PRELIMINARY,undefined,"""data fiduciary"" means any person, including the State, a company, any juristic entity or any individual who alone or in conjunction with others determines the purpose and means of processing of personal data;"
CHAPTER I PRELIMINARY,undefined,"""data principal"" means the natural person to whom the personal data relates;"
CHAPTER I PRELIMINARY,undefined,"""data processor"" means any person, including the State, a company, any juristic entity or any individual, who processes personal data on behalf of a data fiduciary;"
CHAPTER I PRELIMINARY,undefined,"""de-identification"" means the process by which a data fiduciary or data processor may remove, or mask identifiers from personal data, or replace them with such other fictitious name or code that is unique to an individual but does not, on its own, directly identify the data principal;"
CHAPTER I PRELIMINARY,undefined,"""disaster"" shall have the same meaning as assigned to it in clause (d) of section 2 of the Disaster Management Act, 2005;"
CHAPTER I PRELIMINARY,undefined,"""financial data"" means any number or other personal data used to identify an account opened by, or card or payment instrument issued by a financial institution to a data principal or any personal data regarding the relationship between a financial institution and a data principal including financial status and credit history;"
CHAPTER I PRELIMINARY,undefined,"""genetic data"" means personal data relating to the inherited or acquired genetic characteristics of a natural person which give unique information about the behavioural characteristics, physiology or the health of that natural person and which result, in particular, from an analysis of a biological sample from the natural person in question;"
CHAPTER I PRELIMINARY,undefined,"""harm"" includes—"
CHAPTER I PRELIMINARY,undefined,bodily or mental injury;
CHAPTER I PRELIMINARY,undefined,"loss, distortion or theft of identity;"
CHAPTER I PRELIMINARY,undefined,financial loss or loss of property;
CHAPTER I PRELIMINARY,undefined,loss of reputation or humiliation;
CHAPTER I PRELIMINARY,undefined,loss of employment;
CHAPTER I PRELIMINARY,undefined,any discriminatory treatment;
CHAPTER I PRELIMINARY,undefined,any subjection to blackmail or extortion;
CHAPTER I PRELIMINARY,undefined,"any denial or withdrawal of a service, benefit or good resulting from an evaluative decision about the data principal;"
CHAPTER I PRELIMINARY,undefined,"any restriction placed or suffered directly or indirectly on speech, movement or any other action arising out of a fear of being observed or surveilled; or"
CHAPTER I PRELIMINARY,undefined,any observation or surveillance that is not reasonably expected by the data principal;
CHAPTER I PRELIMINARY,undefined,"""health data"" means the data related to the state of physical or mental   health of the data principal and includes records regarding the past, present or future state of the health of such data principal, data collected in the course of registration	5 for, or provision of health services, data associating the data principal to the provision"
CHAPTER I PRELIMINARY,undefined,of specific health services;
CHAPTER I PRELIMINARY,undefined,"""intra-group schemes"" means the schemes approved by the Authority under clause (a) of sub-section (1) of section 34;"
CHAPTER I PRELIMINARY,undefined,"""in writing"" includes any communication in electronic format as defined in	10"
CHAPTER I PRELIMINARY,undefined,"clause (r) of sub-section (1) of section 2 of the Information Technology Act, 2000;"
CHAPTER I PRELIMINARY,undefined,"""journalistic purpose"" means any activity intended towards the dissemination through print, electronic or any other media of factual reports, analysis, opinions, views or documentaries regarding—"
CHAPTER I PRELIMINARY,undefined,"news, recent or current events; or	15"
CHAPTER I PRELIMINARY,undefined,"any other information which the data fiduciary believes the public, or any significantly discernible class of the public, to have an interest in;"
CHAPTER I PRELIMINARY,undefined,"""notification"" means a notification published in the Official Gazette and the expression ""notify"" shall be construed accordingly;"
CHAPTER I PRELIMINARY,undefined,"""official identifier"" means any number, code, or other identifier, assigned to	20"
CHAPTER I PRELIMINARY,undefined,a data principal under a law made by Parliament or any State Legislature which may be used for the purpose of verifying the identity of a data principal;
CHAPTER I PRELIMINARY,undefined,"""person"" includes—"
CHAPTER I PRELIMINARY,undefined,"an individual,"
CHAPTER I PRELIMINARY,undefined,"a Hindu undivided family,	25"
CHAPTER I PRELIMINARY,undefined,"a company,"
CHAPTER I PRELIMINARY,undefined,"a firm,"
CHAPTER I PRELIMINARY,undefined,"an association of persons or a body of individuals, whether incorporated or not,"
CHAPTER I PRELIMINARY,undefined,"the State, and	30"
CHAPTER I PRELIMINARY,undefined,"every artificial juridical person, not falling within any of the preceding sub-clauses;"
CHAPTER I PRELIMINARY,undefined,"""personal data"" means data about or relating to a natural person who is directly or indirectly identifiable, having regard to any characteristic, trait, attribute or"
CHAPTER I PRELIMINARY,undefined,"any other feature of the identity of such natural person, whether online or offline, or	35"
CHAPTER I PRELIMINARY,undefined,"any combination of such features with any other information, and shall include any inference drawn from such data for the purpose of profiling;"
CHAPTER I PRELIMINARY,undefined,"""personal data breach"" means any unauthorised or accidental disclosure, acquisition, sharing, use, alteration, destruction of or loss of access to, personal data"
CHAPTER I PRELIMINARY,undefined,"that compromises the confidentiality, integrity or availability of personal data to a data	40"
CHAPTER I PRELIMINARY,undefined,principal;
