chapter,section,article,recital
undefined,undefined,undefined,Brazilian General Data Protection Law
undefined,undefined,undefined,"Amends Law No. 13,709 of August 14, 2018, to provide for the protection of personal data and to create the National Data Protection Authority; and makes other arrangements."
undefined,undefined,undefined,"Brazilian	Data	Protection	Law	(LGPD) (As amended by Law No. 13,853/2019)"
undefined,undefined,undefined,The NATIONAL CONGRESS decrees:
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 1 This Law provides for the processing of personal data, including by digital means, by a natural person or a legal entity of either public or private law, with the purpose of protecting the fundamental rights of freedom and privacy and the free development of the personality of the natural person.","Sole paragraph. The general provisions of this Law are of national interest and must be observed by the Federal Union, States, Federal District and Municipalities. (by Law No. 13,853/2019)"
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 2 The discipline of personal data protection is grounded on the following: I – respect for privacy;,– informational self-determination;
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 2 The discipline of personal data protection is grounded on the following: I – respect for privacy;,"– freedom of expression, information, communication and opinion;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 2 The discipline of personal data protection is grounded on the following: I – respect for privacy;,"– inviolability of intimacy, honor and image;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 2 The discipline of personal data protection is grounded on the following: I – respect for privacy;,"– economic and technological development and innovation; VI – free enterprise, free competition and consumer defense;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 2 The discipline of personal data protection is grounded on the following: I – respect for privacy;,"VII – human rights, free development of personality, dignity and exercise of citizenship by natural persons."
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 3 This Law applies to any processing operation carried out by a natural person or a legal entity of either public or private law, irrespective of the means, the country in which its headquarter is located or the country where the data are located, provided that:",– the processing operation is carried out in the national territory;
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 3 This Law applies to any processing operation carried out by a natural person or a legal entity of either public or private law, irrespective of the means, the country in which its headquarter is located or the country where the data are located, provided that:","– the processing activity is aimed at the offering or provision of goods or services, or at the processing of data of individuals located on the national territory;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 3 This Law applies to any processing operation carried out by a natural person or a legal entity of either public or private law, irrespective of the means, the country in which its headquarter is located or the country where the data are located, provided that:","– the processing activity is aimed at the offering or provision of goods or services, or at the processing of data of individuals located on the national territory; or (New Wording Given by Law No. 13,853/2019)"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 3 This Law applies to any processing operation carried out by a natural person or a legal entity of either public or private law, irrespective of the means, the country in which its headquarter is located or the country where the data are located, provided that:",– the personal data being processed were collected in the national territory.
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 3 This Law applies to any processing operation carried out by a natural person or a legal entity of either public or private law, irrespective of the means, the country in which its headquarter is located or the country where the data are located, provided that:",§1 Data collected in the national territory are considered to be those whose data subject is in the national territory at the time of collection.
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 3 This Law applies to any processing operation carried out by a natural person or a legal entity of either public or private law, irrespective of the means, the country in which its headquarter is located or the country where the data are located, provided that:",§2 Data processing as provided in item IV of the lead sentence of Art. 4 of this Law is exempted from the provisions of item I of this article.
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 4 This Law does not apply to the processing of personal data that:,I – is done by a natural person exclusively for private and non-economic purposes; II – is done exclusively:
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 4 This Law does not apply to the processing of personal data that:,for journalistic and artistic purposes; or
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 4 This Law does not apply to the processing of personal data that:,cases;
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 4 This Law does not apply to the processing of personal data that:,"academic purposes, with Arts. 7 and 11 of this Law being applicable in these III – is done exclusively for purposes of:"
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 4 This Law does not apply to the processing of personal data that:,public safety;
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 4 This Law does not apply to the processing of personal data that:,national defense;
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 4 This Law does not apply to the processing of personal data that:,state security; or
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 4 This Law does not apply to the processing of personal data that:,activities of investigation and prosecution of criminal offenses; or
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 4 This Law does not apply to the processing of personal data that:,"IV– have their origin outside the national territory and are not the object of communication, shared use of data with Brazilian processing agents or the object of international transfer of data with another country that is not the country of origin, since the country of origin provides a level of personal data protection adequate to that established in this Law."
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 4 This Law does not apply to the processing of personal data that:,"§1 Processing of personal data as provided in item III shall be governed by specific legislation, which shall provide proportional and strictly necessary measures for fulfilling the public interest, subject to due legal process, the general principles of protection and the rights of the data subjects as provided in this Law."
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 4 This Law does not apply to the processing of personal data that:,"§2 Processing of the data referred to in item III of the lead sentence of this article is forbidden for legal entity of private law, except in procedures under the authority of legal entity of public law, of which the national authority shall be specifically informed and which shall observe the limitation imposed in §4 of this article."
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 4 This Law does not apply to the processing of personal data that:,"§3 The national authority shall issue technical opinions or recommendations regarding the exceptions provided in item III of the lead sentence of this article, and shall request of the responsible parties a data protection impact assessment."
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 4 This Law does not apply to the processing of personal data that:,"§4 Under no circumstances the entirety of the personal data in a database, as provided in Item III of the lead sentence of this article, may be processed by a legal entity of private law."
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 4 This Law does not apply to the processing of personal data that:,"§4 §4 Under no circumstances the entirety of the personal data in a database, as provided in Item III of the lead sentence of this article, may be processed by a legal entity of private law, unless its capital is integrally held by public entities. (New Wording Given by Law No. 13,853/2019)"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:",– personal data: information regarding an identified or identifiable natural person;
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","– sensitive personal data: personal data concerning racial or ethnic origin, religious belief, political opinion, trade union or religious, philosophical or political organization membership, data concerning health or sex life, genetic or biometric data, when related to a natural person;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","– anonymized data: data related to a data subject who cannot be identified, considering the use of reasonable and available technical means at the time of the processing;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","– database: a structured set of personal data, kept in one or several locations, in electronic or physical support;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:",– data subject: a natural person to whom the personal data that are the object of processing refer to;
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:",– controller: natural person or legal entity of either public or private law in charge of making the decisions regarding the processing of personal data;
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:",– processor: natural person or legal entity of either public or private law that processes personal data in the name of the controller;
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","– officer: natural personal, appointed by the controller, who acts as a communication channel between the controller and the data subjects and the national authority;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","- data protection officer: person named by the controller and processor to act as a channel of communication between the controller, the subjects of such data and the National Data Protection Authority (ANPD); (New Wording Given by Law No. 13,853/2019)"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:",– processing agents: the controller and the processor;
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","– processing: any operation carried out with personal data, such as collection, production, receipt, classification, use, access, reproduction, transmission, distribution, processing, filing, storage, deletion, evaluation or control of the information, modification, communication, transfer, dissemination or extraction;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","– anonymization: use of reasonable and available technical means at the time of the processing, through which data loss the possibility of direct or indirect association with an individual;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","– consent: free, informed and unambiguous manifestation whereby the data subject agrees to her/his processing of personal data for a given purpose;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","– blocking: temporary suspension of any processing operation, by means of"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:",retention of the personal data or the database;
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","– deletion: exclusion of data or a set of data stored in a database, irrespective of the procedure used;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:",– international data transfer: transfer of personal data to a foreign country or to an international entity of which the country is a member;
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","– shared use of data: communication, dissemination, international transfer, interconnection of personal data or shared processing of banks of personal data by public agencies and entities, in compliance with their legal capabilities, or between these and private entities, reciprocally, with specific authorization, for one or more types of processing allowed by these public entities, or among private entities;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","– data protection impact assessment1 : documentation from the controller that contains the description concerning the proceedings of the personal data processing that could pose risks to civil liberties and fundamental rights, as well as measures, safeguards and mechanisms to mitigate said risk;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","– research body: body or entity of the direct or indirect public administration or a nonprofit legal entity of private law, legally organized under the Brazilian law, with headquarter and jurisdiction in Brazil, that includes in its institutional mission or in its corporate or statutory purposes basic or applied research of historic, scientific, technological or statistical nature;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","- research body: body or entity from the direct or indirect public administration or nonprofit legal entity of private law, legally organized under the Brazilian law, with headquarters and jurisdiction in the Country. This body or entity includes in its institutional mission, in its corporate or statutory purposes basic or applied research of historical, scientific, technological or statistical nature; and (New Wording Given by Law No. 13,853/2019)"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","– national authority: body of the indirect public administration responsible for supervising, implementing and monitoring the compliance with this Law."
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","XIX - national authority: body of the public administration responsible for supervising, implementing and monitoring the compliance with this Law in all national"
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","1 The LGPD uses the expression “relatório de impacto” (impact report) instead of “impact assessment”. However, considering that Data Protection Impact Assessment is the regular expression in laws of data protection, we chose to translate “relatório de impacto à proteção de dados pessoais” as “data protection impact assessment” (Translator’s Note)."
CHAPTER I PRELIMINARY PROVISIONS,undefined,"Art. 5 For purposes of this Law, the following definitions apply:","territory.” (New Wording Given by Law No. 13,853/2019)."
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 6 Activities of processing of personal data shall be done in good faith and be subject to the following principles:,"– purpose: processing done for legitimate, specific and explicit purposes of which the data subject is informed, with no possibility of subsequent processing that is incompatible with these purposes;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 6 Activities of processing of personal data shall be done in good faith and be subject to the following principles:,"– adequacy: compatibility of the processing with the purposes communicated to the data subject, in accordance with the context of the processing;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 6 Activities of processing of personal data shall be done in good faith and be subject to the following principles:,"- necessity: limitation of the processing to the minimum necessary to achieve its purposes, covering data that are relevant, proportional and non-excessive in relation to the purposes of the data processing;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 6 Activities of processing of personal data shall be done in good faith and be subject to the following principles:,"– free access: guarantee to the data subjects of facilitated and free of charge consultation about the form and duration of the processing, as well as about the integrity of their personal data;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 6 Activities of processing of personal data shall be done in good faith and be subject to the following principles:,"– quality of the data: guarantee to the data subjects of the accuracy, clarity, relevancy and updating of the data, in accordance with the need and for achieving the purpose of the processing;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 6 Activities of processing of personal data shall be done in good faith and be subject to the following principles:,"– transparency: guarantee to the data subjects of clear, precise and easily accessible information about the carrying out of the processing and the respective processing agents, subject to commercial and industrial secrecy;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 6 Activities of processing of personal data shall be done in good faith and be subject to the following principles:,"– security: use of technical and administrative measures which are able to protect personal data from unauthorized accesses and accidental or unlawful situations of destruction, loss, alteration, communication or dissemination;"
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 6 Activities of processing of personal data shall be done in good faith and be subject to the following principles:,– prevention: adoption of measures to prevent the occurrence of damages due to the processing of personal data;
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 6 Activities of processing of personal data shall be done in good faith and be subject to the following principles:,– nondiscrimination: impossibility of carrying out the processing for unlawful or abusive discriminatory purposes; and
CHAPTER I PRELIMINARY PROVISIONS,undefined,Art. 6 Activities of processing of personal data shall be done in good faith and be subject to the following principles:,"– accountability: demonstration, by the data processing agent, of the adoption of measures which are efficient and capable of proving the compliance with the rules of personal data protection, including the efficacy of such measures."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,– with the consent of the data subject;
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,– for compliance with a legal or regulatory obligation by the controller;
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,"– by the public administration, for the processing and shared use of data necessary for the execution of public policies provided in laws or regulations, or based on contracts, agreements or similar instruments, subject to the provisions of Chapter IV of this Law;"
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,"– for carrying out studies by research entities, ensuring, whenever possible, the anonymization of personal data;"
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,"– when necessary for the execution of a contract or preliminary procedures related to a contract of which the data subject is a party, at the request of the data subject;"
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,"– for the regular exercise of rights in judicial, administrative or arbitration procedures, the last pursuant to Law No. 9,307, of September 23, 1996 (the “Brazilian Arbitration Law”);"
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,– for the protection of life or physical safety of the data subject or a third party;
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,"– to protect health, in a procedure carried out by health professionals or by health entities;"
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,"– to protect the health, exclusively, in a procedure carried out by health professionals, health services or sanitary authorities; (New Wording Given by Law No. 13,853/2019)"
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,"– when necessary to fulfill the legitimate interests of the controller or a third party, except when the data subject’s fundamental rights and liberties which require personal data protection prevail; or"
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,"– for the protection of credit, including as provided in specific legislation."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,"§1 (Revoked). (New Wording Given by Law No. 13,853/2019)"
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,"§2 (Revoked). (New Wording Given by Law No. 13,853/2019)"
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,"§3 The processing of publicly accessible personal data shall consider the purpose, the good faith and the public interest that justify it being made available."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,"§4 The consent requirement provided in the lead sentence of this article is waived for data manifestly made public by the data subject, safeguarding the rights of the data subject and the principles provided in this Law."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,"§5 The controller who has obtained the consent referred to in item I of the lead sentence of this article that needs to communicate or share personal data with other controllers shall obtain specific consent from the data subject for this purpose, except when the need for such consent is waived as provided in this Law."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,"§6 Any eventual waiver of the consent requirement does not release processing agents from the other obligations provided in this Law, especially that of obeying the general principles and guarantees of the data subject’s rights."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,"§7 The subsequent processing of the personal data referred to in paragraphs 3 and 4 of this article may be carried out for new purposes, provided that legitimate and specific purposes to the new processing and the preservation of the rights of the data subject are observed, as"
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 7 Processing of personal data shall only be carried out under the following circumstances:,"well as the grounds and principles set forth in this Law.” (Included by Law No. 13,853/2019)."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 8 The consent provided in item I of Art. 7 of this Law shall be given in writing or by other means able to demonstrate the manifestation of the will of the data subject.,"§1 If consent is given in writing, it should be included in a clause that stands out from the other contractual clauses."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 8 The consent provided in item I of Art. 7 of this Law shall be given in writing or by other means able to demonstrate the manifestation of the will of the data subject.,§2 The burden of proof to demonstrate that the consent was dully obtained in compliance with the provisions of this Law is on the controller.
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 8 The consent provided in item I of Art. 7 of this Law shall be given in writing or by other means able to demonstrate the manifestation of the will of the data subject.,§3 It is prohibited to process personal data if the consent is defective.
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 8 The consent provided in item I of Art. 7 of this Law shall be given in writing or by other means able to demonstrate the manifestation of the will of the data subject.,"§4 Consent shall refer to particular purposes, and generic authorizations for processing personal data shall be considered void."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 8 The consent provided in item I of Art. 7 of this Law shall be given in writing or by other means able to demonstrate the manifestation of the will of the data subject.,"§5 Consent may be revoked at any time, by express request of the data subject, through a facilitated and free of charge procedure, with processing carried out under previously given consent remaining valid as long as there is no request for deletion, pursuant to item VI of the lead sentence of Art. 18 of this Law."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 8 The consent provided in item I of Art. 7 of this Law shall be given in writing or by other means able to demonstrate the manifestation of the will of the data subject.,"§6 If there is a change in the information as referred to in items I, II, III or V of Art. 9 of this Law, the controller shall inform the data subject, with specific highlight of the content"
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,Art. 8 The consent provided in item I of Art. 7 of this Law shall be given in writing or by other means able to demonstrate the manifestation of the will of the data subject.,"of the changes, in which case the data subject, in those cases where her/his consent is required, may revoke it if she/he disagrees with the change."
CHAPTER II PROCESSING OF PERSONAL DATA,Section I Requirements for the Processing of Personal Data,"Art. 9 The data subject has the right to facilitated access to information concerning the processing of her/his data, which much be made available in a clear, adequate and ostensible manner, concerning, among other characteristics provided in regulation for complying with the principle of free access:",– the specific purpose of the processing;
