Ken,gdpr article,bdpr article,similarity
0,Subject-matter and objectives.this regulation lays down rules relating to the protection of natural persons with regard to the processing of personal data and rules relating to the free movement of personal data..this regulation protects fundamental rights and freedoms of natural persons and in particular their right to the protection of personal data..the free movement of personal data within the union shall be neither restricted nor prohibited for reasons connected with the protection of natural persons with regard to the processing of personal data.,"Art. 55-J The National Authority has the following duties:.– to ensure the protection of personal data, as provided in legislation;.– to ensure the observance of commercial and industrial secrets, as long as the protection of personal data and the confidentiality of information when it is protected by law or when the breach of confidentiality violates the grounds of art. 2 of this law;.– to elaborate guidelines for the personal data protection and privacy national.– to monitor and apply sanctions for data processing that is not compliant with.– to monitor and apply sanctions for data processing that is not compliant with.legislation, through an administrative process that ensures right to adversary proceeding, full defense and the right to appeal;.– to receive pleadings from the data subject against the controller after the data subject has demonstrated that he/she presented a complaint against the controller that was not solved in the timeframe established in regulation;.– to promote the knowledge of the norms and public policies on the protection of personal data and of the security measures to the general population;.– to promote and elaborate studies on national and international practices for the protection of personal data and privacy;.– to stimulate the adoption of standards for services and products that facilitate the control of data subjects regarding their personal data, which should take into account the specificities of the activities and the size of those responsible;.– to promote cooperation initiatives with data protection authorities of other countries, of international or transnational nature;.– to decide on the forms of publicity regarding personal data processing operations, observing commercial and industrial secrecy;.– to request, at any time, that entities of the public authority carry out operations of processing of personal data to give specific report about the scope and nature of the data and other details of the processing, and may issue complementary technical opinion to ensure compliance with this law;.– to draft annual management reports of its activities;.– to amend regulations and procedures on the protection of personal data and privacy, as well as on data protection impact assessment reports in cases in which the processing represents a high risk to the guarantee of the general principles of personal data protection foreseen in this law;.– to listen to processing agents and to the society in matters of relevant interest and to report on their activities and planning;.xv– to collect and apply its revenues and publish the breakdown of its revenues and expenses in the management report referred to in item xii of the lead sentence of this article;.– to carry out audits, or to determine their occurrence regarding the processing of personal data carried out by processing agents, including public authorities;.– to hold, at any time, agreements with processing agents in order to eliminate irregularities or legal uncertainties in administrative proceedings, in accordance with other provisions in brazilian law;.– to enact rules, guidelines and simplified and special procedures, including deadlines, so that microenterprises and small businesses are able to adapt to this law, as well as incremental or disruptive business initiatives that declare themselves startups or innovation companies;.– to ensure that data processing of elderly people is carried out in a simple, clear, accessible and adequate form to their understanding, in accordance with this law the statute of the elderly;.– to discuss, at the administrative level, on the interpretation of this law, its authorities and matters on which the law is silent;.– to report criminal offenses that it becomes aware of to competent authorities;.– to report to the internal control bodies any violation to the provisions set forth in this law performed by bodies and entities of the federal public administration;.– to coordinate with public regulatory authorities to exert their authority in specific sectors of economic and governmental activities bound to regulation; and.– to implement simplified mechanisms, including by electronic means, in order to collect and record complaints on the processing of personal data non-compliant with this law..§1 when imposing administrative constraints on the processing of personal data by a private agent, whether they are constituted of limits, charges or subjections, the anpd must observe the requirement of minimum intervention, ensuring the grounds, principles and rights of data subjects set forth in art. 170 of the federal constitution and in this law..§2 regulation and rules enacted by anpd shall be preceded by public consultation and hearings, as well as regulatory impact assessments..§3 the anpd and other public bodies and entities responsible for regulating specific sectors of economic and governmental activity shall coordinate their activities, in their respective spheres of action, in order to ensure the fulfillment of their duties efficiently and to promote the adequate functioning of regulated sectors, according to specific and sectoral legislation, and the processing of personal data, in conformity with this law..§4 the anpd shall maintain a permanent communication forum, including by technical cooperation, with bodies and entities of the public administration responsible for the regulation of specific sectors of economic and governmental activity, in order to facilitate.anpd’s regulatory, monitoring and punitive duties..§5 in the exercise of the powers referred to in the lead sentence of this article, the relevant authority shall ensure the preservation of industrial and information secrecy, in the terms of the law..§6 complaints collected in accordance with the provisions set forth in item v of the lead sentence of this article may be analyzed in an aggregate manner and any measures arising therefrom may be adopted in a standardized manner. (included by law no. 13,853/2019)",0.393290183
0,"Material scope.this regulation applies to the processing of personal data wholly or partly by automated means and to the processing other than by automated means of personal data which form part of a filing system or are intended to form part of a filing system..this regulation does not apply to the processing of personal data:.in the course of an activity which falls outside the scope of union law;.by the member states when carrying out activities which fall within the scope of chapter 2 of title v of the teu;.by a natural person in the course of a purely personal or household activity;.by competent authorities for the purposes of the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security..for the processing of personal data by the union institutions, bodies, offices and agencies, regulation (ec) no 45/2001 applies. regulation (ec) no 45/2001 and other union legal acts applicable to such processing of personal data shall be adapted to the principles and rules of this regulation in accordance with article 98..this regulation shall be without prejudice to the application of directive 2000/31/ec, in particular of the liability rules of intermediary service providers in articles 12 to 15 of that directive.","Art. 55-J The National Authority has the following duties:.– to ensure the protection of personal data, as provided in legislation;.– to ensure the observance of commercial and industrial secrets, as long as the protection of personal data and the confidentiality of information when it is protected by law or when the breach of confidentiality violates the grounds of art. 2 of this law;.– to elaborate guidelines for the personal data protection and privacy national.– to monitor and apply sanctions for data processing that is not compliant with.– to monitor and apply sanctions for data processing that is not compliant with.legislation, through an administrative process that ensures right to adversary proceeding, full defense and the right to appeal;.– to receive pleadings from the data subject against the controller after the data subject has demonstrated that he/she presented a complaint against the controller that was not solved in the timeframe established in regulation;.– to promote the knowledge of the norms and public policies on the protection of personal data and of the security measures to the general population;.– to promote and elaborate studies on national and international practices for the protection of personal data and privacy;.– to stimulate the adoption of standards for services and products that facilitate the control of data subjects regarding their personal data, which should take into account the specificities of the activities and the size of those responsible;.– to promote cooperation initiatives with data protection authorities of other countries, of international or transnational nature;.– to decide on the forms of publicity regarding personal data processing operations, observing commercial and industrial secrecy;.– to request, at any time, that entities of the public authority carry out operations of processing of personal data to give specific report about the scope and nature of the data and other details of the processing, and may issue complementary technical opinion to ensure compliance with this law;.– to draft annual management reports of its activities;.– to amend regulations and procedures on the protection of personal data and privacy, as well as on data protection impact assessment reports in cases in which the processing represents a high risk to the guarantee of the general principles of personal data protection foreseen in this law;.– to listen to processing agents and to the society in matters of relevant interest and to report on their activities and planning;.xv– to collect and apply its revenues and publish the breakdown of its revenues and expenses in the management report referred to in item xii of the lead sentence of this article;.– to carry out audits, or to determine their occurrence regarding the processing of personal data carried out by processing agents, including public authorities;.– to hold, at any time, agreements with processing agents in order to eliminate irregularities or legal uncertainties in administrative proceedings, in accordance with other provisions in brazilian law;.– to enact rules, guidelines and simplified and special procedures, including deadlines, so that microenterprises and small businesses are able to adapt to this law, as well as incremental or disruptive business initiatives that declare themselves startups or innovation companies;.– to ensure that data processing of elderly people is carried out in a simple, clear, accessible and adequate form to their understanding, in accordance with this law the statute of the elderly;.– to discuss, at the administrative level, on the interpretation of this law, its authorities and matters on which the law is silent;.– to report criminal offenses that it becomes aware of to competent authorities;.– to report to the internal control bodies any violation to the provisions set forth in this law performed by bodies and entities of the federal public administration;.– to coordinate with public regulatory authorities to exert their authority in specific sectors of economic and governmental activities bound to regulation; and.– to implement simplified mechanisms, including by electronic means, in order to collect and record complaints on the processing of personal data non-compliant with this law..§1 when imposing administrative constraints on the processing of personal data by a private agent, whether they are constituted of limits, charges or subjections, the anpd must observe the requirement of minimum intervention, ensuring the grounds, principles and rights of data subjects set forth in art. 170 of the federal constitution and in this law..§2 regulation and rules enacted by anpd shall be preceded by public consultation and hearings, as well as regulatory impact assessments..§3 the anpd and other public bodies and entities responsible for regulating specific sectors of economic and governmental activity shall coordinate their activities, in their respective spheres of action, in order to ensure the fulfillment of their duties efficiently and to promote the adequate functioning of regulated sectors, according to specific and sectoral legislation, and the processing of personal data, in conformity with this law..§4 the anpd shall maintain a permanent communication forum, including by technical cooperation, with bodies and entities of the public administration responsible for the regulation of specific sectors of economic and governmental activity, in order to facilitate.anpd’s regulatory, monitoring and punitive duties..§5 in the exercise of the powers referred to in the lead sentence of this article, the relevant authority shall ensure the preservation of industrial and information secrecy, in the terms of the law..§6 complaints collected in accordance with the provisions set forth in item v of the lead sentence of this article may be analyzed in an aggregate manner and any measures arising therefrom may be adopted in a standardized manner. (included by law no. 13,853/2019)",0.450451829
0,"Territorial scope.this regulation applies to the processing of personal data in the context of the activities of an establishment of a controller or a processor in the union, regardless of whether the processing takes place in the union or not..this regulation applies to the processing of personal data of data subjects who are in the union by a controller or processor not established in the union, where the processing activities are related to:.the offering of goods or services, irrespective of whether a payment of the data subject is required, to such data subjects in the union; or.the monitoring of their behaviour as far as their behaviour takes place within the union..this regulation applies to the processing of personal data by a controller not established in the union, but in a place where member state law applies by virtue of public international law..for the purposes of this regulation:","Art. 55-J The National Authority has the following duties:.– to ensure the protection of personal data, as provided in legislation;.– to ensure the observance of commercial and industrial secrets, as long as the protection of personal data and the confidentiality of information when it is protected by law or when the breach of confidentiality violates the grounds of art. 2 of this law;.– to elaborate guidelines for the personal data protection and privacy national.– to monitor and apply sanctions for data processing that is not compliant with.– to monitor and apply sanctions for data processing that is not compliant with.legislation, through an administrative process that ensures right to adversary proceeding, full defense and the right to appeal;.– to receive pleadings from the data subject against the controller after the data subject has demonstrated that he/she presented a complaint against the controller that was not solved in the timeframe established in regulation;.– to promote the knowledge of the norms and public policies on the protection of personal data and of the security measures to the general population;.– to promote and elaborate studies on national and international practices for the protection of personal data and privacy;.– to stimulate the adoption of standards for services and products that facilitate the control of data subjects regarding their personal data, which should take into account the specificities of the activities and the size of those responsible;.– to promote cooperation initiatives with data protection authorities of other countries, of international or transnational nature;.– to decide on the forms of publicity regarding personal data processing operations, observing commercial and industrial secrecy;.– to request, at any time, that entities of the public authority carry out operations of processing of personal data to give specific report about the scope and nature of the data and other details of the processing, and may issue complementary technical opinion to ensure compliance with this law;.– to draft annual management reports of its activities;.– to amend regulations and procedures on the protection of personal data and privacy, as well as on data protection impact assessment reports in cases in which the processing represents a high risk to the guarantee of the general principles of personal data protection foreseen in this law;.– to listen to processing agents and to the society in matters of relevant interest and to report on their activities and planning;.xv– to collect and apply its revenues and publish the breakdown of its revenues and expenses in the management report referred to in item xii of the lead sentence of this article;.– to carry out audits, or to determine their occurrence regarding the processing of personal data carried out by processing agents, including public authorities;.– to hold, at any time, agreements with processing agents in order to eliminate irregularities or legal uncertainties in administrative proceedings, in accordance with other provisions in brazilian law;.– to enact rules, guidelines and simplified and special procedures, including deadlines, so that microenterprises and small businesses are able to adapt to this law, as well as incremental or disruptive business initiatives that declare themselves startups or innovation companies;.– to ensure that data processing of elderly people is carried out in a simple, clear, accessible and adequate form to their understanding, in accordance with this law the statute of the elderly;.– to discuss, at the administrative level, on the interpretation of this law, its authorities and matters on which the law is silent;.– to report criminal offenses that it becomes aware of to competent authorities;.– to report to the internal control bodies any violation to the provisions set forth in this law performed by bodies and entities of the federal public administration;.– to coordinate with public regulatory authorities to exert their authority in specific sectors of economic and governmental activities bound to regulation; and.– to implement simplified mechanisms, including by electronic means, in order to collect and record complaints on the processing of personal data non-compliant with this law..§1 when imposing administrative constraints on the processing of personal data by a private agent, whether they are constituted of limits, charges or subjections, the anpd must observe the requirement of minimum intervention, ensuring the grounds, principles and rights of data subjects set forth in art. 170 of the federal constitution and in this law..§2 regulation and rules enacted by anpd shall be preceded by public consultation and hearings, as well as regulatory impact assessments..§3 the anpd and other public bodies and entities responsible for regulating specific sectors of economic and governmental activity shall coordinate their activities, in their respective spheres of action, in order to ensure the fulfillment of their duties efficiently and to promote the adequate functioning of regulated sectors, according to specific and sectoral legislation, and the processing of personal data, in conformity with this law..§4 the anpd shall maintain a permanent communication forum, including by technical cooperation, with bodies and entities of the public administration responsible for the regulation of specific sectors of economic and governmental activity, in order to facilitate.anpd’s regulatory, monitoring and punitive duties..§5 in the exercise of the powers referred to in the lead sentence of this article, the relevant authority shall ensure the preservation of industrial and information secrecy, in the terms of the law..§6 complaints collected in accordance with the provisions set forth in item v of the lead sentence of this article may be analyzed in an aggregate manner and any measures arising therefrom may be adopted in a standardized manner. (included by law no. 13,853/2019)",0.424253104
1,"Definitions.‘personal data’ means any information relating to an identified or identifiable natural person (‘data subject’); an identifiable natural person is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity of that natural person;.‘processing’ means any operation or set of operations which is performed on personal data or on sets of personal data, whether or not by automated means, such as collection, recording, organisation, structuring, storage, adaptation or alteration, retrieval, consultation, use,.disclosure by transmission, dissemination or otherwise making available, alignment or combination, restriction, erasure or destruction;.‘restriction of processing’ means the marking of stored personal data with the aim of limiting their processing in the future;.‘profiling’ means any form of automated processing of personal data consisting of the use of personal data to evaluate certain personal aspects relating to a natural person, in particular to analyse or predict aspects concerning that natural person's performance at work, economic situation, health, personal preferences, interests, reliability, behaviour, location or movements;.‘pseudonymisation’ means the processing of personal data in such a manner that the personal data can no longer be attributed to a specific data subject without the use of additional information, provided that such additional information is kept separately and is subject to technical and organisational measures to ensure that the personal data are not attributed to an identified or identifiable natural person;.‘filing system’ means any structured set of personal data which are accessible according to specific criteria, whether centralised, decentralised or dispersed on a functional or geographical basis;.‘controller’ means the natural or legal person, public authority, agency or other body which, alone or jointly with others, determines the purposes and means of the processing of personal data; where the purposes and means of such processing are determined by union or member state law, the controller or the specific criteria for its nomination may be provided for by union or member state law;.‘processor’ means a natural or legal person, public authority, agency or other body which processes personal data on behalf of the controller;.‘recipient’ means a natural or legal person, public authority, agency or another body, to which the personal data are disclosed, whether a third party or not. however, public authorities which may receive personal data in the framework of a particular inquiry in accordance with union or member state law shall not be regarded as recipients; the processing of those data by those public authorities shall be in compliance with the applicable data protection rules according to the purposes of the processing;.‘third party’ means a natural or legal person, public authority, agency or body other than the data subject, controller, processor and persons who, under the direct authority of the controller or processor, are authorised to process personal data;.‘consent’ of the data subject means any freely given, specific, informed and unambiguous indication of the data subject's wishes by which he or she, by a statement or by a clear affirmative action, signifies agreement to the processing of personal data relating to him or her;.‘personal data breach’ means a breach of security leading to the accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to, personal data transmitted, stored or otherwise processed;.‘genetic data’ means personal data relating to the inherited or acquired genetic characteristics of a natural person which give unique information about the physiology or the health of that natural person and which result, in particular, from an analysis of a biological sample from the natural person in question;.‘biometric data’ means personal data resulting from specific technical processing relating to the physical, physiological or behavioural characteristics of a natural person, which allow or confirm the unique identification of that natural person, such as facial images or dactyloscopic data;.‘data concerning health’ means personal data related to the physical or mental health of a natural person, including the provision of health care services, which reveal information about his or her health status;.‘main establishment’ means:.as regards a controller with establishments in more than one member state, the place of its central administration in the union, unless the decisions on the purposes and means of the processing of personal data are taken in another establishment of the controller in the union and the latter establishment has the power to have such decisions implemented, in which case the establishment having taken such decisions is to be considered to be the main establishment;.as regards a processor with establishments in more than one member state, the place of its central administration in the union, or, if the processor has no central administration in the union, the establishment of the processor in the union where the main processing activities in the context of the activities of an establishment of the processor take place to the extent that the processor is subject to specific obligations under this regulation;.‘representative’ means a natural or legal person established in the union who, designated by the controller or processor in writing pursuant to article 27, represents the controller or processor with regard to their respective obligations under this regulation;.‘enterprise’ means a natural or legal person engaged in an economic activity, irrespective of its legal form, including partnerships or associations regularly engaged in an economic activity;.‘group of undertakings’ means a controlling undertaking and its controlled undertakings;.‘binding corporate rules’ means personal data protection policies which are adhered to by a controller or processor established on the territory of a member state for transfers or a set of transfers of personal data to a controller or processor in one or more third countries within a group of undertakings, or group of enterprises engaged in a joint economic activity;.‘supervisory authority’ means an independent public authority which is established by a member state pursuant to article 51;.‘supervisory authority concerned’ means a supervisory authority which is concerned by the processing of personal data because:.the controller or processor is established on the territory of the member state of that supervisory authority;.data subjects residing in the member state of that supervisory authority are substantially affected or likely to be substantially affected by the processing; or.a complaint has been lodged with that supervisory authority;.‘cross-border processing’ means either:.processing of personal data which takes place in the context of the activities of establishments in more than one member state of a controller or processor in the union where the controller or processor is established in more than one member state; or.processing of personal data which takes place in the context of the activities of a single establishment of a controller or processor in the union but which substantially affects or is likely to substantially affect data subjects in more than one member state..‘relevant and reasoned objection’ means an objection to a draft decision as to whether there is an infringement of this regulation, or whether envisaged action in relation to the controller or processor complies with this regulation, which clearly demonstrates the significance of the risks posed by the draft decision as regards the fundamental rights and freedoms of data subjects and, where applicable, the free flow of personal data within the union;.‘information society service’ means a service as defined in point (b) of article 1(1) of directive (eu) 2015/1535 of the european parliament and of the counci;.‘international organisation’ means an organisation and its subordinate bodies governed by public international law, or any other body which is set up by, or on the basis of, an agreement between two or more countries.","Art. 5 For purposes of this Law, the following definitions apply:.– personal data: information regarding an identified or identifiable natural person;.– sensitive personal data: personal data concerning racial or ethnic origin, religious belief, political opinion, trade union or religious, philosophical or political organization membership, data concerning health or sex life, genetic or biometric data, when related to a natural person;.– anonymized data: data related to a data subject who cannot be identified, considering the use of reasonable and available technical means at the time of the processing;.– database: a structured set of personal data, kept in one or several locations, in electronic or physical support;.– data subject: a natural person to whom the personal data that are the object of processing refer to;.– controller: natural person or legal entity of either public or private law in charge of making the decisions regarding the processing of personal data;.– processor: natural person or legal entity of either public or private law that processes personal data in the name of the controller;.– officer: natural personal, appointed by the controller, who acts as a communication channel between the controller and the data subjects and the national authority;.- data protection officer: person named by the controller and processor to act as a channel of communication between the controller, the subjects of such data and the national data protection authority (anpd); (new wording given by law no. 13,853/2019).– processing agents: the controller and the processor;.– processing: any operation carried out with personal data, such as collection, production, receipt, classification, use, access, reproduction, transmission, distribution, processing, filing, storage, deletion, evaluation or control of the information, modification, communication, transfer, dissemination or extraction;.– anonymization: use of reasonable and available technical means at the time of the processing, through which data loss the possibility of direct or indirect association with an individual;.– consent: free, informed and unambiguous manifestation whereby the data subject agrees to her/his processing of personal data for a given purpose;.– blocking: temporary suspension of any processing operation, by means of.retention of the personal data or the database;.– deletion: exclusion of data or a set of data stored in a database, irrespective of the procedure used;.– international data transfer: transfer of personal data to a foreign country or to an international entity of which the country is a member;.– shared use of data: communication, dissemination, international transfer, interconnection of personal data or shared processing of banks of personal data by public agencies and entities, in compliance with their legal capabilities, or between these and private entities, reciprocally, with specific authorization, for one or more types of processing allowed by these public entities, or among private entities;.– data protection impact assessment1 : documentation from the controller that contains the description concerning the proceedings of the personal data processing that could pose risks to civil liberties and fundamental rights, as well as measures, safeguards and mechanisms to mitigate said risk;.– research body: body or entity of the direct or indirect public administration or a nonprofit legal entity of private law, legally organized under the brazilian law, with headquarter and jurisdiction in brazil, that includes in its institutional mission or in its corporate or statutory purposes basic or applied research of historic, scientific, technological or statistical nature;.- research body: body or entity from the direct or indirect public administration or nonprofit legal entity of private law, legally organized under the brazilian law, with headquarters and jurisdiction in the country. this body or entity includes in its institutional mission, in its corporate or statutory purposes basic or applied research of historical, scientific, technological or statistical nature; and (new wording given by law no. 13,853/2019).– national authority: body of the indirect public administration responsible for supervising, implementing and monitoring the compliance with this law..xix - national authority: body of the public administration responsible for supervising, implementing and monitoring the compliance with this law in all national.1 the lgpd uses the expression “relatório de impacto” (impact report) instead of “impact assessment”. however, considering that data protection impact assessment is the regular expression in laws of data protection, we chose to translate “relatório de impacto à proteção de dados pessoais” as “data protection impact assessment” (translator’s note)..territory.” (new wording given by law no. 13,853/2019).",0.630394998
1,"Principles relating to processing of personal data.personal data shall be:.processed lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’);.collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes; further processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes shall, in accordance with article 89(1), not be considered to be incompatible with the initial purposes (‘purpose limitation’);.adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data minimisation’);.accurate and, where necessary, kept up to date; every reasonable step must be taken to ensure that personal data that are inaccurate, having regard to the purposes for which they are processed, are erased or rectified without delay (‘accuracy’);.kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed; personal data may be stored for.longer periods insofar as the personal data will be processed solely for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with article 89(1) subject to implementation of the appropriate technical and organisational measures required by this regulation in order to safeguard the rights and freedoms of the data subject (‘storage limitation’);.processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’)..the controller shall be responsible for, and be able to demonstrate compliance with, paragraph 1 (‘accountability’).","Art. 6 Activities of processing of personal data shall be done in good faith and be subject to the following principles:.– purpose: processing done for legitimate, specific and explicit purposes of which the data subject is informed, with no possibility of subsequent processing that is incompatible with these purposes;.– adequacy: compatibility of the processing with the purposes communicated to the data subject, in accordance with the context of the processing;.- necessity: limitation of the processing to the minimum necessary to achieve its purposes, covering data that are relevant, proportional and non-excessive in relation to the purposes of the data processing;.– free access: guarantee to the data subjects of facilitated and free of charge consultation about the form and duration of the processing, as well as about the integrity of their personal data;.– quality of the data: guarantee to the data subjects of the accuracy, clarity, relevancy and updating of the data, in accordance with the need and for achieving the purpose of the processing;.– transparency: guarantee to the data subjects of clear, precise and easily accessible information about the carrying out of the processing and the respective processing agents, subject to commercial and industrial secrecy;.– security: use of technical and administrative measures which are able to protect personal data from unauthorized accesses and accidental or unlawful situations of destruction, loss, alteration, communication or dissemination;.– prevention: adoption of measures to prevent the occurrence of damages due to the processing of personal data;.– nondiscrimination: impossibility of carrying out the processing for unlawful or abusive discriminatory purposes; and.– accountability: demonstration, by the data processing agent, of the adoption of measures which are efficient and capable of proving the compliance with the rules of personal data protection, including the efficacy of such measures.",0.445410611
1,"Lawfulness of processing.processing shall be lawful only if and to the extent that at least one of the following applies:.the data subject has given consent to the processing of his or her personal data for one or more specific purposes;.processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;.processing is necessary for compliance with a legal obligation to which the controller is subject;.processing is necessary in order to protect the vital interests of the data subject or of another natural person;.processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller;.processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child..point (f) of the first subparagraph shall not apply to processing carried out by public authorities in the performance of their tasks..member states may maintain or introduce more specific provisions to adapt the application of the rules of this regulation with regard to processing for compliance with points (c) and (e) of paragraph.1 by determining more precisely specific requirements for the processing and other measures to ensure lawful and fair processing including for other specific processing situations as provided for in chapter ix..the basis for the processing referred to in point (c) and (e) of paragraph 1 shall be laid down by:.union law; or.member state law to which the controller is subject..the purpose of the processing shall be determined in that legal basis or, as regards the processing referred to in point (e) of paragraph 1, shall be necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller. that legal basis may contain specific provisions to adapt the application of rules of this regulation, inter alia: the general conditions governing the lawfulness of processing by the controller; the types of data which are subject to the processing; the data subjects concerned; the entities to, and the purposes for which, the personal data may be disclosed; the purpose limitation; storage periods; and processing operations and processing procedures, including measures to ensure lawful and fair processing such as those for other specific processing situations as provided for in chapter ix. the union or the member state law shall meet an objective of public interest and be proportionate to the legitimate aim pursued..where the processing for a purpose other than that for which the personal data have been collected is not based on the data subject's consent or on a union or member state law which constitutes a necessary and proportionate measure in a democratic society to safeguard the objectives referred to in article 23(1), the controller shall, in order to ascertain whether processing for another purpose is compatible with the purpose for which the personal data are initially collected, take into account, inter alia:.any link between the purposes for which the personal data have been collected and the purposes of the intended further processing;.the context in which the personal data have been collected, in particular regarding the relationship between data subjects and the controller;.the nature of the personal data, in particular whether special categories of personal data are processed, pursuant to article 9, or whether personal data related to criminal convictions and offences are processed, pursuant to article 10;.the possible consequences of the intended further processing for data subjects;.the existence of appropriate safeguards, which may include encryption or pseudonymisation.","Art. 7 Processing of personal data shall only be carried out under the following circumstances:.– with the consent of the data subject;.– for compliance with a legal or regulatory obligation by the controller;.– by the public administration, for the processing and shared use of data necessary for the execution of public policies provided in laws or regulations, or based on contracts, agreements or similar instruments, subject to the provisions of chapter iv of this law;.– for carrying out studies by research entities, ensuring, whenever possible, the anonymization of personal data;.– when necessary for the execution of a contract or preliminary procedures related to a contract of which the data subject is a party, at the request of the data subject;.– for the regular exercise of rights in judicial, administrative or arbitration procedures, the last pursuant to law no. 9,307, of september 23, 1996 (the “brazilian arbitration law”);.– for the protection of life or physical safety of the data subject or a third party;.– to protect health, in a procedure carried out by health professionals or by health entities;.– to protect the health, exclusively, in a procedure carried out by health professionals, health services or sanitary authorities; (new wording given by law no. 13,853/2019).– when necessary to fulfill the legitimate interests of the controller or a third party, except when the data subject’s fundamental rights and liberties which require personal data protection prevail; or.– for the protection of credit, including as provided in specific legislation..§1 (revoked). (new wording given by law no. 13,853/2019).§2 (revoked). (new wording given by law no. 13,853/2019).§3 the processing of publicly accessible personal data shall consider the purpose, the good faith and the public interest that justify it being made available..§4 the consent requirement provided in the lead sentence of this article is waived for data manifestly made public by the data subject, safeguarding the rights of the data subject and the principles provided in this law..§5 the controller who has obtained the consent referred to in item i of the lead sentence of this article that needs to communicate or share personal data with other controllers shall obtain specific consent from the data subject for this purpose, except when the need for such consent is waived as provided in this law..§6 any eventual waiver of the consent requirement does not release processing agents from the other obligations provided in this law, especially that of obeying the general principles and guarantees of the data subject’s rights..§7 the subsequent processing of the personal data referred to in paragraphs 3 and 4 of this article may be carried out for new purposes, provided that legitimate and specific purposes to the new processing and the preservation of the rights of the data subject are observed, as.well as the grounds and principles set forth in this law.” (included by law no. 13,853/2019).",0.595006121
