Ken,gdpr recital,bdpr recital,similarity
1,"processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for the purpose of uniquely identifying a natural person, data concerning health or data concerning a natural person's sex life or sexual orientation shall be prohibited.","– sensitive personal data: personal data concerning racial or ethnic origin, religious belief, political opinion, trade union or religious, philosophical or political organization membership, data concerning health or sex life, genetic or biometric data, when related to a natural person;",0.94476369
1,processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;,"– when necessary for the execution of a contract or preliminary procedures related to a contract of which the data subject is a party, at the request of the data subject;",0.944310966
0,"where personal data are processed for scientific or historical research purposes or statistical purposes pursuant to article 89(1), the data subject, on grounds relating to his or her particular situation, shall have the right to object to processing of personal data concerning him or her, unless the processing is necessary for the performance of a task carried out for reasons of public interest.","§3 when the processing of personal data is a condition for the provision of a product or service or for the exercise of a right, the data subject shall be informed with special highlight of this fact and of the means by which she/he may exercise her/his data subject’s rights as listed in art. 18 of this law.",0.941083302
1,national security;,national defense;,0.941031941
0,"a code of conduct referred to in paragraph 2 of this article shall contain mechanisms which enable the body referred to in article 41(1) to carry out the mandatory monitoring of compliance with its provisions by the controllers or processors which undertake to apply it, without prejudice to the tasks and powers of supervisory authorities competent pursuant to article 55 or 56.","§3 the national authority may designate certification entities to carry out the provisions of the lead sentence of this article, which shall remain under their inspection and subject to the terms defined in regulation.",0.940867105
1,"the data subject shall have the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her which is based on point (e) or (f) of article 6(1), including profiling based on those provisions. the controller shall no longer process the personal data unless the controller demonstrates compelling legitimate grounds for the processing which override the interests, rights and freedoms of the data subject or for the establishment, exercise or defence of legal claims.","§3 when the processing of personal data is a condition for the provision of a product or service or for the exercise of a right, the data subject shall be informed with special highlight of this fact and of the means by which she/he may exercise her/his data subject’s rights as listed in art. 18 of this law.",0.94017847
1,"where, in cases referred to in paragraph 1 of this article, the controller is able to demonstrate that it is not in a position to identify the data subject, the controller shall inform the data subject accordingly, if possible. in such cases, articles 15 to 20 shall not apply except where the data subject, for the purpose of exercising his or her rights under those articles, provides additional information enabling his or her identification.","§3 when the processing of personal data is a condition for the provision of a product or service or for the exercise of a right, the data subject shall be informed with special highlight of this fact and of the means by which she/he may exercise her/his data subject’s rights as listed in art. 18 of this law.",0.939167561
1,the supervisory authority shall establish and make public a list of the kind of processing operations which are subject to the requirement for a data protection impact assessment pursuant  to paragraph 1. the supervisory authority shall communicate those lists to the board referred to in article 68.,"§3 the national authority shall issue technical opinions or recommendations regarding the exceptions provided in item iii of the lead sentence of this article, and shall request of the responsible parties a data protection impact assessment.",0.938364938
0,the transfer is necessary for the conclusion or performance of a contract concluded in the interest of the data subject between the controller and another natural or legal person;,"– when necessary for the execution of a contract or preliminary procedures related to a contract of which the data subject is a party, at the request of the data subject;",0.937558676
1,"‘consent’ of the data subject means any freely given, specific, informed and unambiguous indication of the data subject's wishes by which he or she, by a statement or by a clear affirmative action, signifies agreement to the processing of personal data relating to him or her;","– consent: free, informed and unambiguous manifestation whereby the data subject agrees to her/his processing of personal data for a given purpose;",0.936939522
,"a transfer pursuant to point (g) of the first subparagraph of paragraph 1 shall not involve the entirety of the personal data or entire categories of the personal data contained in the register. where the register is intended for consultation by persons having a legitimate interest, the transfer shall be made only at the request of those persons or if they are to be the recipients.","§3 children’s personal data may be collected without the consent mentioned in §1 of this article when the collection is necessary to contact the parents or the legal representative, and as long as the data are used one single time and not stored, or for their protection, and under no circumstances shall the data be passed on to third parties without consent as provided in §1 of this article.",0.935567135
,"the data subject has given explicit consent to the processing of those personal data for one or more specified purposes, except where union or member state law provide that the prohibition referred to in paragraph 1 may not be lifted by the data subject;","§5 the controller who has obtained the consent referred to in item i of the lead sentence of this article that needs to communicate or share personal data with other controllers shall obtain specific consent from the data subject for this purpose, except when the need for such consent is waived as provided in this law.",0.934609357
,"processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child.","– when necessary to fulfill the legitimate interests of the controller or a third party, except when the data subject’s fundamental rights and liberties which require personal data protection prevail; or",0.933477554
,"the commission may specify the format and procedures for the exchange of information between controllers, processors and supervisory authorities for binding corporate rules within the meaning of this article. those implementing acts shall be adopted in accordance with the examination procedure set out in article 93(2).","§5 guarantees that are sufficient for compliance with the general principles of protection and data subject’s rights referred to in the lead sentence of this article shall also be analyzed in accordance with the technical and organizational measures adopted by the processor, according to the provisions of §§1 and 2 of art. 46 of this law.",0.933164029
,"the controller shall take appropriate measures to provide any information referred to in articles 13 and 14 and any communication under articles 15 to 22 and 34 relating to processing to the data subject in a concise, transparent, intelligible and easily accessible form, using clear and plain language, in particular for any information addressed specifically to a child. the information shall be provided in writing, or by other means, including, where appropriate, by electronic means. when requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means.","§6 information on the processing of data referred to in this article shall be provided in a simple, clear and accessible manner, taking into account the physical-motor, perceptive, sensorial, intellectual and mental characteristics of the user, using audiovisual resources when appropriate, in order to provide the necessary information to the parents or the legal representative and that is appropriate for the children’s understanding.",0.932442161
,"where the controller has made the personal data public and is obliged pursuant to paragraph 1 to erase the personal data, the controller, taking account of available technology and the cost of implementation, shall take reasonable steps, including technical measures, to inform controllers which are processing the personal data that the data subject has requested the erasure by such controllers of any links to, or copy or replication of, those personal data.","§2 in the situation when consent is required, if there are changes in the purpose of the processing of personal data that are not compatible with the original consent, the controller shall previously inform the data subject of the changes of purpose, and the data subject may revoke her/his consent if she/he disagrees with the changes.",0.931844237
,"without prejudice to the tasks and powers of the competent supervisory authority and the provisions of chapter viii, a body as referred to in paragraph 1 of this article shall, subject to appropriate safeguards, take appropriate action in cases of infringement of the code by a controller or processor, including suspension or exclusion of the controller or processor concerned from the code. it shall inform the competent supervisory authority of such actions and the reasons for taking them.","§7 the subsequent processing of the personal data referred to in paragraphs 3 and 4 of this article may be carried out for new purposes, provided that legitimate and specific purposes to the new processing and the preservation of the rights of the data subject are observed, as",0.931254877
,"the accreditation of certification bodies as referred to in paragraphs 1 and 2 of this article shall take place on the basis of criteria approved by the supervisory authority which is competent pursuant to article 55 or 56 or by the board pursuant to article 63. in the case of accreditation pursuant to point (b) of paragraph 1 of this article, those requirements shall complement those envisaged in regulation (ec) no 765/2008 and the technical rules that describe the methods and procedures of the certification bodies.","§5 guarantees that are sufficient for compliance with the general principles of protection and data subject’s rights referred to in the lead sentence of this article shall also be analyzed in accordance with the technical and organizational measures adopted by the processor, according to the provisions of §§1 and 2 of art. 46 of this law.",0.930853504
,"that assessment provided suitable safeguards with regard to the protection of personal data. the controller shall inform the supervisory authority of the transfer. the controller shall, in addition to providing the information referred to in articles 13 and 14, inform the data subject of the transfer and on the compelling legitimate interests pursued.","§7 the subsequent processing of the personal data referred to in paragraphs 3 and 4 of this article may be carried out for new purposes, provided that legitimate and specific purposes to the new processing and the preservation of the rights of the data subject are observed, as",0.928295754
,"‘processor’ means a natural or legal person, public authority, agency or other body which processes personal data on behalf of the controller;",– processor: natural person or legal entity of either public or private law that processes personal data in the name of the controller;,0.928037385
,the controller or processor shall document the assessment as well as the suitable safeguards referred to in the second subparagraph of paragraph 1 of this article in the records referred to in article 30.,"§5 guarantees that are sufficient for compliance with the general principles of protection and data subject’s rights referred to in the lead sentence of this article shall also be analyzed in accordance with the technical and organizational measures adopted by the processor, according to the provisions of §§1 and 2 of art. 46 of this law.",0.927455791
,a certification pursuant to this article does not reduce the responsibility of the controller or the processor for compliance with this regulation and is without prejudice to the tasks and powers of the supervisory authorities which are competent pursuant to article 55 or 56.,"§3 the national authority may designate certification entities to carry out the provisions of the lead sentence of this article, which shall remain under their inspection and subject to the terms defined in regulation.",0.927189787
,public security;,public safety;,0.92677315
,the exercise of the right referred to in paragraph 1 of this article shall be without prejudice to article 17. that right shall not apply to processing necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.,"§7 the subsequent processing of the personal data referred to in paragraphs 3 and 4 of this article may be carried out for new purposes, provided that legitimate and specific purposes to the new processing and the preservation of the rights of the data subject are observed, as",0.926295418
,"without prejudice to article 11, where the controller has reasonable doubts concerning the identity of the natural person making the request referred to in articles 15 to 21, the controller may request the provision of additional information necessary to confirm the identity of the data subject.","§2 the data subject may oppose the processing carried out based on one of the situations of waiver of consent, if there is noncompliance with the provisions of this law.",0.926207098
,"churches and religious associations which apply comprehensive rules in accordance with paragraph 1 of this article shall be subject to the supervision of an independent supervisory authority, which may be specific, provided that it fulfils the conditions laid down in chapter vi of this regulation.","§3 the national authority may designate certification entities to carry out the provisions of the lead sentence of this article, which shall remain under their inspection and subject to the terms defined in regulation.",0.925930945
,"the provision of such information proves impossible or would involve a disproportionate effort, in particular for processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes, subject to the conditions and safeguards referred to in article 89(1) or in so far as the obligation referred to in paragraph 1 of this article is likely to render impossible or seriously impair the achievement of the objectives of that processing. in such cases the controller shall take appropriate measures to protect the data subject's rights and freedoms and legitimate interests, including making the information publicly available;","§7 the subsequent processing of the personal data referred to in paragraphs 3 and 4 of this article may be carried out for new purposes, provided that legitimate and specific purposes to the new processing and the preservation of the rights of the data subject are observed, as",0.925870315
,"the controller shall communicate any rectification or erasure of personal data or restriction of processing carried out in accordance with article 16, article 17(1) and article 18 to each recipient to whom the personal data have been disclosed, unless this proves impossible or involves disproportionate effort. the controller shall inform the data subject about those recipients if the data subject requests it.","§6 the controller shall immediately inform the processing agents with which she/he has carried out the shared use of data of the correction, deletion, anonymization or blocking of data, so that they can repeat an identical procedure, except in cases in which this action is proven impossible or involves disproportionate effort. (new wording given by law no. 13,853/2019)",0.925654852
