Ken,gdpr recital,bdpr recital,similarity
1,"the purpose of the processing shall be determined in that legal basis or, as regards the processing referred to in point (e) of paragraph 1, shall be necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller. that legal basis may contain specific provisions to adapt the application of rules of this regulation, inter alia: the general conditions governing the lawfulness of processing by the controller; the types of data which are subject to the processing; the data subjects concerned; the entities to, and the purposes for which, the personal data may be disclosed; the purpose limitation; storage periods; and processing operations and processing procedures, including measures to ensure lawful and fair processing such as those for other specific processing situations as provided for in chapter ix. the union or the member state law shall meet an objective of public interest and be proportionate to the legitimate aim pursued.","§1 processing of personal data as provided in item iii shall be governed by specific legislation, which shall provide proportional and strictly necessary measures for fulfilling the public interest, subject to due legal process, the general principles of protection and the rights of the data subjects as provided in this law.",0.988966722
0,"‘recipient’ means a natural or legal person, public authority, agency or another body, to which the personal data are disclosed, whether a third party or not. however, public authorities which may receive personal data in the framework of a particular inquiry in accordance with union or member state law shall not be regarded as recipients; the processing of those data by those public authorities shall be in compliance with the applicable data protection rules according to the purposes of the processing;","sole paragraph. for purposes of item i of this article, the legal entities of public law referred to in the sole paragraph of art. 1 of law no. 12,527, of november 18, 2011 (the “brazilian access to information law”), within their legal capabilities, and those parties accountable, within the scope of their activities, may request the national authority to evaluate the level of protection of personal data provided by a country or international organization.",0.985225043
0,"where personal data are processed for scientific or historical research purposes or statistical purposes pursuant to article 89(1), the data subject, on grounds relating to his or her particular situation, shall have the right to object to processing of personal data concerning him or her, unless the processing is necessary for the performance of a task carried out for reasons of public interest.","– to request, at any time, that entities of the public authority carry out operations of processing of personal data to give specific report about the scope and nature of the data and other details of the processing, and may issue complementary technical opinion to ensure compliance with this law;",0.984889738
1,"processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for the purpose of uniquely identifying a natural person, data concerning health or data concerning a natural person's sex life or sexual orientation shall be prohibited.","– sensitive personal data: personal data concerning racial or ethnic origin, religious belief, political opinion, trade union or religious, philosophical or political organization membership, data concerning health or sex life, genetic or biometric data, when related to a natural person;",0.984471099
0,"the provision of such information proves impossible or would involve a disproportionate effort, in particular for processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes, subject to the conditions and safeguards referred to in article 89(1) or in so far as the obligation referred to in paragraph 1 of this article is likely to render impossible or seriously impair the achievement of the objectives of that processing. in such cases the controller shall take appropriate measures to protect the data subject's rights and freedoms and legitimate interests, including making the information publicly available;","– to request, at any time, that entities of the public authority carry out operations of processing of personal data to give specific report about the scope and nature of the data and other details of the processing, and may issue complementary technical opinion to ensure compliance with this law;",0.984124843
0,"where, in cases referred to in paragraph 1 of this article, the controller is able to demonstrate that it is not in a position to identify the data subject, the controller shall inform the data subject accordingly, if possible. in such cases, articles 15 to 20 shall not apply except where the data subject, for the purpose of exercising his or her rights under those articles, provides additional information enabling his or her identification.","§5 the controller who has obtained the consent referred to in item i of the lead sentence of this article that needs to communicate or share personal data with other controllers shall obtain specific consent from the data subject for this purpose, except when the need for such consent is waived as provided in this law.",0.984103313
0,"prior to the adoption of the lists referred to in paragraphs 4 and 5, the competent supervisory authority shall apply the consistency mechanism referred to in article 63 where such lists involve processing activities which are related to the offering of goods or services to data subjects or to the monitoring of their behaviour in several member states, or may substantially affect the free movement of personal data within the union.","§3 when the processing of personal data is a condition for the provision of a product or service or for the exercise of a right, the data subject shall be informed with special highlight of this fact and of the means by which she/he may exercise her/his data subject’s rights as listed in art. 18 of this law.",0.983699233
0,data subjects may contact the data protection officer with regard to all issues related to processing of their personal data and to the exercise of their rights under this regulation.,"§4 communication or shared use between controllers of sensitive personal data referring to health for the purpose of obtaining an economic advantage is prohibited, except in cases of portability of data when consented by the data subject.",0.983641983
0,processing of personal data relating to criminal convictions and offences or related security measures based on article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by union or member state law providing for appropriate safeguards for the rights and freedoms of data subjects. any comprehensive register of criminal convictions shall be kept only under the control of official authority.,"§5 in the exercise of the powers referred to in the lead sentence of this article, the relevant authority shall ensure the preservation of industrial and information secrecy, in the terms of the law.",0.983254125
0,"the data subject shall have the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her which is based on point (e) or (f) of article 6(1), including profiling based on those provisions. the controller shall no longer process the personal data unless the controller demonstrates compelling legitimate grounds for the processing which override the interests, rights and freedoms of the data subject or for the establishment, exercise or defence of legal claims.","– to request, at any time, that entities of the public authority carry out operations of processing of personal data to give specific report about the scope and nature of the data and other details of the processing, and may issue complementary technical opinion to ensure compliance with this law;",0.982852235
