Ken,gdpr recital,bdpr recital,similarity
1,the purposes and means of the intended processing;,– the specific purpose of the processing;,0.948923504
1,for exercising the right of freedom of expression and information;,"– freedom of expression, information, communication and opinion;",0.945175099
1,"‘consent’ of the data subject means any freely given, specific, informed and unambiguous indication of the data subject's wishes by which he or she, by a statement or by a clear affirmative action, signifies agreement to the processing of personal data relating to him or her;","– consent: free, informed and unambiguous manifestation whereby the data subject agrees to her/his processing of personal data for a given purpose;",0.93976804
1,"‘processing’ means any operation or set of operations which is performed on personal data or on sets of personal data, whether or not by automated means, such as collection, recording, organisation, structuring, storage, adaptation or alteration, retrieval, consultation, use,","– processing: any operation carried out with personal data, such as collection, production, receipt, classification, use, access, reproduction, transmission, distribution, processing, filing, storage, deletion, evaluation or control of the information, modification, communication, transfer, dissemination or extraction;",0.939249762
0,"is necessary for entering into, or performance of, a contract between the data subject and a data controller;","– when necessary for the execution of a contract or preliminary procedures related to a contract of which the data subject is a party, at the request of the data subject;",0.932065453
0,processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;,"– when necessary for the execution of a contract or preliminary procedures related to a contract of which the data subject is a party, at the request of the data subject;",0.931454847
0,the transfer is necessary for the performance of a contract between the data subject and the controller or the implementation of pre-contractual measures taken at the data subject's request;,"– when necessary for the execution of a contract or preliminary procedures related to a contract of which the data subject is a party, at the request of the data subject;",0.923499861
1,the purposes of the processing or categories of processing;,– the specific purpose of the processing;,0.920781262
0,expressly confer enforceable rights on data subjects with regard to the processing of their personal data; and,§1 personal data shall be stored in a format that facilitates the exercise of the right to,0.917929554
1,"‘processor’ means a natural or legal person, public authority, agency or other body which processes personal data on behalf of the controller;",– processor: natural person or legal entity of either public or private law that processes personal data in the name of the controller;,0.916520967
,"the measures envisaged to address the risks, including safeguards, security measures and mechanisms to ensure the protection of personal data and to demonstrate compliance with this regulation taking into account the rights and legitimate interests of data subjects and other persons concerned.","– data protection impact assessment1 : documentation from the controller that contains the description concerning the proceedings of the personal data processing that could pose risks to civil liberties and fundamental rights, as well as measures, safeguards and mechanisms to mitigate said risk;",0.913100361
,"adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data minimisation’);","- necessity: limitation of the processing to the minimum necessary to achieve its purposes, covering data that are relevant, proportional and non-excessive in relation to the purposes of the data processing;",0.909849154
,"‘personal data’ means any information relating to an identified or identifiable natural person (‘data subject’); an identifiable natural person is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity of that natural person;",– personal data: information regarding an identified or identifiable natural person;,0.908424812
,"the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security;",activities of investigation and prosecution of criminal offenses; or,0.907072244
,"processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’).","– security: use of technical and administrative measures which are able to protect personal data from unauthorized accesses and accidental or unlawful situations of destruction, loss, alteration, communication or dissemination;",0.906316964
,"enforceable commitments, via contractual or other legally binding instruments, to apply those appropriate safeguards, including with regard to the rights of data subjects.","– when the controller offers and proves guarantees of compliance with the principles and the rights of the data subject and the regime of data protection provided in this law, in the form of:",0.904255471
,processing is necessary for compliance with a legal obligation to which the controller is subject;,– for compliance with a legal or regulatory obligation by the controller;,0.903435763
,national security;,national defense;,0.902805169
,"describe the measures taken or proposed to be taken by the controller to address the personal data breach, including, where appropriate, measures to mitigate its possible adverse effects.","– data protection impact assessment1 : documentation from the controller that contains the description concerning the proceedings of the personal data processing that could pose risks to civil liberties and fundamental rights, as well as measures, safeguards and mechanisms to mitigate said risk;",0.898188438
,a description of the categories of data subjects and of the categories of personal data;,i – a description of the nature of the affected personal data; ii – information on the data subjects involved;,0.898052485
,"the exercise of the powers conferred on the supervisory authority pursuant to this article shall be subject to appropriate safeguards, including effective judicial remedy and due process, set out in union and member state law in accordance with the charter.","requirements, conditions and minimum guarantees for the transfer that are in accordance with the rights, guarantees and principles of this law.",0.897754475
,non-compliance with an order or a temporary or definitive limitation on processing or the suspension of data flows by the supervisory authority pursuant to article 58(2) or failure to provide access in violation of article 58(1).,"– anonymization, blocking or deletion of unnecessary or excessive data or data processed in noncompliance with the provisions of this law;",0.896865656
,"taking into account the state of the art, the cost of implementation and the nature, scope, context and purposes of processing as well as the risks of varying likelihood and severity for rights and freedoms of natural persons posed by the processing, the controller shall, both at the time of the determination of the means for processing and at the time of the processing itself, implement appropriate technical and organisational measures, such as pseudonymisation, which are designed to implement data-protection principles, such as data minimisation, in an effective manner and to integrate the necessary safeguards into the processing in order to meet the requirements of this regulation and protect the rights of data subjects.","§1 when establishing rules of good practices, the controller and the processor shall take into consideration, regarding the processing and the data, the nature, scope, purpose and probability and seriousness of the risks and the benefits that will result from the processing of the data subject’s data.",0.896528285
,is authorised by union or member state law to which the controller is subject and which also lays down suitable measures to safeguard the data subject's rights and freedoms and legitimate interests; or,"– when the controller offers and proves guarantees of compliance with the principles and the rights of the data subject and the regime of data protection provided in this law, in the form of:",0.894321514
,"the rule of law, respect for human rights and fundamental freedoms, relevant legislation, both general and sectoral, including concerning public security, defence, national security and criminal law and the access of public authorities to personal data, as well as the implementation of such legislation, data protection rules, professional rules and security measures, including rules for the onward transfer of personal data to another third country or international organisation which are complied with in that country or international organisation, case-law, as well as effective and enforceable data subject rights and effective",– the compliance with the general principles of personal data protection and data subjects’ rights as provided in this law;,0.894238919
