Ken,gdpr recital,bdpr recital,similarity
1,"processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for the purpose of uniquely identifying a natural person, data concerning health or data concerning a natural person's sex life or sexual orientation shall be prohibited.","– sensitive personal data: personal data concerning racial or ethnic origin, religious belief, political opinion, trade union or religious, philosophical or political organization membership, data concerning health or sex life, genetic or biometric data, when related to a natural person;",0.709441644
1,for exercising the right of freedom of expression and information;,"– freedom of expression, information, communication and opinion;",0.669108325
1,public security;,state security; or,0.633281025
1,processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;,"– when necessary for the execution of a contract or preliminary procedures related to a contract of which the data subject is a party, at the request of the data subject;",0.611221676
0,processing is necessary for compliance with a legal obligation to which the controller is subject;,– for compliance with a legal or regulatory obligation by the controller;,0.60730271
1,adopt standard contractual clauses referred to in article 28(8) and in point (d) of article 46(2);,standard contractual clauses;,0.603831637
1,"‘personal data’ means any information relating to an identified or identifiable natural person (‘data subject’); an identifiable natural person is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity of that natural person;",– personal data: information regarding an identified or identifiable natural person;,0.581572267
0,the member state in whose territory the damage was caused shall make good such damage under the conditions applicable to damage caused by its own staff. the member state of the seconding,of the damage.,0.556368661
0,"processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child.","– when necessary to fulfill the legitimate interests of the controller or a third party, except when the data subject’s fundamental rights and liberties which require personal data protection prevail; or",0.548803184
0,"‘data concerning health’ means personal data related to the physical or mental health of a natural person, including the provision of health care services, which reveal information about his or her health status;","the protection of health, in a procedure carried out by health professionals or by health entities; or",0.536901232
,"‘processor’ means a natural or legal person, public authority, agency or other body which processes personal data on behalf of the controller;",– processor: natural person or legal entity of either public or private law that processes personal data in the name of the controller;,0.504602521
,"the data subject shall have the right to withdraw his or her consent at any time. the withdrawal of consent shall not affect the lawfulness of processing based on consent before its withdrawal. prior to giving consent, the data subject shall be informed thereof. it shall be as easy to withdraw as to give consent.",– with the consent of the data subject;,0.502998818
,communicate the name and contact details of the data protection officer or other contact point where more information can be obtained;,– the controller’s contact information;,0.498282087
,the personal data have to be erased for compliance with a legal obligation in union or member state law to which the controller is subject;,– for compliance with a legal or regulatory obligation by the controller;,0.498075124
,the purposes of the processing;,"– adequacy: compatibility of the processing with the purposes communicated to the data subject, in accordance with the context of the processing;",0.48375638
,"a transfer of personal data to a third country or an international organisation may take place where the commission has decided that the third country, a territory or one or more specified sectors within that third country, or the international organisation in question ensures an adequate level of protection. such a transfer shall not require any specific authorisation.",– international data transfer: transfer of personal data to a foreign country or to an international entity of which the country is a member;,0.475032389
,a supervisory authority may adopt standard contractual clauses for the matters referred to in paragraph 3 and 4 of this article and in accordance with the consistency mechanism referred to in article 63.,standard contractual clauses;,0.473105196
,"collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes; further processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes shall, in accordance with article 89(1), not be considered to be incompatible with the initial purposes (‘purpose limitation’);","– purpose: processing done for legitimate, specific and explicit purposes of which the data subject is informed, with no possibility of subsequent processing that is incompatible with these purposes;",0.470630106
,authorise contractual clauses and provisions referred to in article 46(3);,standard contractual clauses;,0.469975108
,the transfer is necessary for the performance of a contract between the data subject and the controller or the implementation of pre-contractual measures taken at the data subject's request;,"– when necessary for the execution of a contract or preliminary procedures related to a contract of which the data subject is a party, at the request of the data subject;",0.468545259
,the personal data are no longer necessary in relation to the purposes for which they were collected or otherwise processed;,– the personal data being processed were collected in the national territory.,0.468416953
,"the nature, gravity and duration of the infringement taking into account the nature scope or purpose of the processing concerned as well as the number of data subjects affected and the level of damage suffered by them;",– the nature of the data;,0.468022164
,is based on the data subject's explicit consent.,– with the consent of the data subject;,0.463759069
,"the controller shall make reasonable efforts to verify in such cases that consent is given or authorised by the holder of parental responsibility over the child, taking into consideration available technology.","§5 the controller shall use all reasonable efforts to verify that the consent referred to in §1 of this article was given by the child’s representative, considering available technologies.",0.462430334
,"the identity and the contact details of the controller and, where applicable, of the controller's representative;",– the controller’s contact information;,0.461457291
,to authorise contractual clauses referred to in point (a) of article 46(3);,standard contractual clauses;,0.459029768
,the data subject has given consent to the processing of his or her personal data for one or more specific purposes;,"– when the data subject has given her/his specific and highlighted consent for the transfer, with prior information about the international nature of the operation, with this being clearly distinct from other purposes; or",0.454141678
,the supervisory authority which is competent pursuant to article 55 or 56;,"i – december 28, 2018, as for articles 55-a, 55-b, 55-c, 55-d, 55-e, 55-f, 55-g, 55- h, 55- i, 55-j, 55-k, 55-l, 58-a e 58-b; and",0.451150851
,"member states shall by law reconcile the right to the protection of personal data pursuant to this regulation with the right to freedom of expression and information, including processing for journalistic purposes and the purposes of academic, artistic or literary expression.",for journalistic and artistic purposes; or,0.447214312
,"the purpose of the processing shall be determined in that legal basis or, as regards the processing referred to in point (e) of paragraph 1, shall be necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller. that legal basis may contain specific provisions to adapt the application of rules of this regulation, inter alia: the general conditions governing the lawfulness of processing by the controller; the types of data which are subject to the processing; the data subjects concerned; the entities to, and the purposes for which, the personal data may be disclosed; the purpose limitation; storage periods; and processing operations and processing procedures, including measures to ensure lawful and fair processing such as those for other specific processing situations as provided for in chapter ix. the union or the member state law shall meet an objective of public interest and be proportionate to the legitimate aim pursued.","§7 the subsequent processing of the personal data referred to in paragraphs 3 and 4 of this article may be carried out for new purposes, provided that legitimate and specific purposes to the new processing and the preservation of the rights of the data subject are observed, as",0.446836734
,the commission may lay down standard contractual clauses for the matters referred to in paragraph 3 and 4 of this article and in accordance with the examination procedure referred to in article 93(2).,standard contractual clauses;,0.445390662
,"any transfer of personal data which are undergoing processing or are intended for processing after transfer to a third country or to an international organisation shall take place only if, subject to the other provisions of this regulation, the conditions laid down in this chapter are complied with by the controller and processor, including for onward transfers of personal data from the third country or an international organisation to another third country or to another international organisation. all provisions in this chapter shall be applied in order to ensure that the level of protection of natural persons guaranteed by this regulation is not undermined.",– international data transfer: transfer of personal data to a foreign country or to an international entity of which the country is a member;,0.443599885
,a description of the categories of data subjects and of the categories of personal data;,i – a description of the nature of the affected personal data; ii – information on the data subjects involved;,0.442363736
,the assessment shall contain at least:,"§1 the communication shall be done in a reasonable time period, as defined by the national authority, and shall contain, at the very least:",0.440831899
,"the name and contact details of the controller and, where applicable, the joint controller, the controller's representative and the data protection officer;",– the controller’s contact information;,0.43813245
,the transfer of personal data to third countries or international organisations; or,– international data transfer: transfer of personal data to a foreign country or to an international entity of which the country is a member;,0.435929768
,for compliance with a legal obligation which requires processing by union or member state law to which the controller is subject or for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller;,– for compliance with a legal or regulatory obligation by the controller;,0.435229845
,the processing is carried out by automated means.,– the processing operation is carried out in the national territory;,0.434500765
,"where personal data are transferred to a third country or to an international organisation, the data subject shall have the right to be informed of the appropriate safeguards pursuant to article 46 relating to the transfer.",– international data transfer: transfer of personal data to a foreign country or to an international entity of which the country is a member;,0.425405394
,"the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security;",activities of investigation and prosecution of criminal offenses; or,0.424909017
,to adopt standard data protection clauses referred to in article 28(8) and in point (d) of article 46(2);,standard contractual clauses;,0.423999934
,the purposes and means of the intended processing;,"§4 for purposes of this article, pseudonymization is the processing by means of which",0.414985321
,"the duration of the term of the member or members of each supervisory authority of no less than four years, except for the first appointment after 24 may 2016, part of which may take place for a shorter period where that is necessary to protect the independence of the supervisory authority by means of a staggered appointment procedure;","§4 the term of the first members of the board of directors will be of two, three, four, five and six years, as provided for in the appointment.",0.414977345
,"by competent authorities for the purposes of the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security.",activities of investigation and prosecution of criminal offenses; or,0.412271129
,standard data protection clauses adopted by the commission in accordance with the examination procedure referred to in article 93(2);,standard contractual clauses;,0.412006007
,for the purposes of this regulation:,"§4 for purposes of this article, pseudonymization is the processing by means of which",0.40964452
,aims to authorise contractual clauses referred to in point (a) of article 46(3); or,standard contractual clauses;,0.408090961
,"is necessary for entering into, or performance of, a contract between the data subject and a data controller;","– when necessary for the execution of a contract or preliminary procedures related to a contract of which the data subject is a party, at the request of the data subject;",0.40798
,an assessment of the necessity and proportionality of the processing operations in relation to the purposes;,"- necessity: limitation of the processing to the minimum necessary to achieve its purposes, covering data that are relevant, proportional and non-excessive in relation to the purposes of the data processing;",0.407825266
,"‘personal data breach’ means a breach of security leading to the accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to, personal data transmitted, stored or otherwise processed;","– security: use of technical and administrative measures which are able to protect personal data from unauthorized accesses and accidental or unlawful situations of destruction, loss, alteration, communication or dissemination;",0.407433239
,processing relates to personal data which are manifestly made public by the data subject;,"§4 the consent requirement provided in the lead sentence of this article is waived for data manifestly made public by the data subject, safeguarding the rights of the data subject and the principles provided in this law.",0.407344675
,"where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information:",– with the consent of the data subject;,0.407280398
,to order the controller or the processor to comply with the data subject's requests to exercise his or her rights pursuant to this regulation;,"– protection of data subject’s regular exercise of her/his rights or provision of services that benefit her/him, subject to her/his legitimate expectations and fundamental rights and freedoms, in accordance with this law.",0.406112925
,to carry out investigations in the form of data protection audits;,"– to carry out audits, or to determine their occurrence regarding the processing of personal data carried out by processing agents, including public authorities;",0.405562329
,the exercise of the rights of data subjects;,– the compliance with the general principles of personal data protection and data subjects’ rights as provided in this law;,0.405269289
,"the offering of goods or services, irrespective of whether a payment of the data subject is required, to such data subjects in the union; or","– the processing activity is aimed at the offering or provision of goods or services, or at the processing of data of individuals located on the national territory;",0.400462761
,"where personal data have not been obtained from the data subject, the controller shall provide the data subject with the following information:",– with the consent of the data subject;,0.397858865
,"the data subject shall have the right to mandate a not-for-profit body, organisation or association which has been properly constituted in accordance with the law of a member state, has statutory objectives which are in the public interest, and is active in the field of the protection of data subjects' rights and freedoms with regard to the protection of their personal data to lodge the complaint on his or her behalf, to exercise the rights referred to in articles 77, 78 and 79 on his or her behalf, and to exercise the right to receive compensation referred to in article 82 on his or her behalf where provided for by member state law.","– protection of data subject’s regular exercise of her/his rights or provision of services that benefit her/him, subject to her/his legitimate expectations and fundamental rights and freedoms, in accordance with this law.",0.397308156
,to order the controller to communicate a personal data breach to the data subject;,§1 in order to ensure the effective compensation to the data subject:,0.397094832
,"in assessing the appropriate level of security account shall be taken in particular of the risks that are presented by processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to personal data transmitted, stored or otherwise processed.","– security: use of technical and administrative measures which are able to protect personal data from unauthorized accesses and accidental or unlawful situations of destruction, loss, alteration, communication or dissemination;",0.395088273
,"the storage periods and the applicable safeguards taking into account the nature, scope and purposes of the processing or categories of processing;","§1 the national authority may provide minimum technical standards to make the provisions of the lead sentence of this article applicable, taking into account the nature of the",0.394065014
,"the name and contact details of the processor or processors and of each controller on behalf of which the processor is acting, and, where applicable, of the controller's or the processor's representative, and the data protection officer;",– processing agents: the controller and the processor;,0.392543011
,this article shall not apply to processing carried out by public authorities and bodies.,"– to carry out audits, or to determine their occurrence regarding the processing of personal data carried out by processing agents, including public authorities;",0.392540252
,"the transfer is necessary for the establishment, exercise or defence of legal claims;",– when the transfer is necessary for the execution of a public policy or legal,0.392477431
,"‘pseudonymisation’ means the processing of personal data in such a manner that the personal data can no longer be attributed to a specific data subject without the use of additional information, provided that such additional information is kept separately and is subject to technical and organisational measures to ensure that the personal data are not attributed to an identified or identifiable natural person;",– personal data: information regarding an identified or identifiable natural person;,0.391575678
,the purposes of the processing or categories of processing;,"– adequacy: compatibility of the processing with the purposes communicated to the data subject, in accordance with the context of the processing;",0.391289373
,"the data subject shall have the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her which is based on point (e) or (f) of article 6(1), including profiling based on those provisions. the controller shall no longer process the personal data unless the controller demonstrates compelling legitimate grounds for the processing which override the interests, rights and freedoms of the data subject or for the establishment, exercise or defence of legal claims.",§2 the controller shall adopt measures to ensure transparency of data processing based on her/his legitimate interests.,0.390418901
,binding corporate rules in accordance with article 47;,binding corporate rules6;,0.388459468
,"where the processing is based on point (f) of article 6(1), the legitimate interests pursued by the controller or by a third party;",§2 the controller shall adopt measures to ensure transparency of data processing based on her/his legitimate interests.,0.387014942
,any person who has suffered material or non-material damage as a result of an infringement of this regulation shall have the right to receive compensation from the controller or processor for the damage suffered.,of the damage.,0.38697519
,"the controller or the processor and, where applicable, the controller's or the processor's representative, shall make the record available to the supervisory authority on request.",– processing agents: the controller and the processor;,0.385526635
,"where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data.",§2 the controller shall adopt measures to ensure transparency of data processing based on her/his legitimate interests.,0.384594342
,"in the absence of an adequacy decision, union or member state law may, for important reasons of public interest, expressly set limits to the transfer of specific categories of personal data to a third country or an international organisation. member states shall notify such provisions to the commission.",– international data transfer: transfer of personal data to a foreign country or to an international entity of which the country is a member;,0.383389117
,"the contact details of the data protection officer, where applicable;",– the controller’s contact information;,0.383379467
,"where applicable, the contact details of the data protection officer;",– the controller’s contact information;,0.383379467
,aims to determine standard data protection clauses referred to in point (d) of article 46(2) and in article 28(8);,standard contractual clauses;,0.382169098
,the transfer is necessary for important reasons of public interest;,– when the transfer is necessary for the execution of a public policy or legal,0.380950289
,"the controller shall seek the advice of the data protection officer, where designated, when carrying out a data protection impact assessment.",data protection.”,0.380944831
,the purposes of the processing for which the personal data are intended as well as the legal basis for the processing;,"§7 the subsequent processing of the personal data referred to in paragraphs 3 and 4 of this article may be carried out for new purposes, provided that legitimate and specific purposes to the new processing and the preservation of the rights of the data subject are observed, as",0.379126864
,the categories of personal data affected by the infringement;,i – a description of the nature of the affected personal data; ii – information on the data subjects involved;,0.378415139
,"the data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information:",i – confirmation of the existence of the processing; ii – access to the data;,0.378137226
,"the transfer is necessary in order to protect the vital interests of the data subject or of other persons, where the data subject is physically or legally incapable of giving consent;",– with the consent of the data subject;,0.376944287
,the information provided to the public and to data subjects;,– the compliance with the general principles of personal data protection and data subjects’ rights as provided in this law;,0.376091931
,"where applicable, transfers of personal data to a third country or an international organisation, including the identification of that third country or international organisation and, in the case of transfers referred to in the second subparagraph of article 49(1), the documentation of suitable safeguards;",– international data transfer: transfer of personal data to a foreign country or to an international entity of which the country is a member;,0.375430299
,standard data protection clauses adopted by a supervisory authority and approved by the commission pursuant to the examination procedure referred to in article 93(2);,standard contractual clauses;,0.37506272
,the data protection impact assessment provided for in article 35; and,"1 the lgpd uses the expression “relatório de impacto” (impact report) instead of “impact assessment”. however, considering that data protection impact assessment is the regular expression in laws of data protection, we chose to translate “relatório de impacto à proteção de dados pessoais” as “data protection impact assessment” (translator’s note).",0.37421171
,"to order the controller and the processor, and, where applicable, the controller's or the processor's representative to provide any information it requires for the performance of its tasks;",– processing agents: the controller and the processor;,0.372997405
,"taking into account the state of the art, the cost of implementation and the nature, scope, context and purposes of processing as well as the risks of varying likelihood and severity for rights and freedoms of natural persons posed by the processing, the controller shall, both at the time of the determination of the means for processing and at the time of the processing itself, implement appropriate technical and organisational measures, such as pseudonymisation, which are designed to implement data-protection principles, such as data minimisation, in an effective manner and to integrate the necessary safeguards into the processing in order to meet the requirements of this regulation and protect the rights of data subjects.","§1 when establishing rules of good practices, the controller and the processor shall take into consideration, regarding the processing and the data, the nature, scope, purpose and probability and seriousness of the risks and the benefits that will result from the processing of the data subject’s data.",0.372958806
,"processing by a processor shall be governed by a contract or other legal act under union or member state law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing, the nature and purpose of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller. that contract or other legal act shall stipulate, in particular, that the processor:","§1 when establishing rules of good practices, the controller and the processor shall take into consideration, regarding the processing and the data, the nature, scope, purpose and probability and seriousness of the risks and the benefits that will result from the processing of the data subject’s data.",0.372348634
,"provide the commission with an opinion for the assessment of the adequacy of the level of protection in a third country or international organisation, including for the assessment whether a third country, a territory or one or more specified sectors within that third country, or an international organisation no longer ensures an adequate level of protection. to that end, the commission shall provide the board with all necessary documentation, including correspondence with the government of the third country, with regard to that third country, territory or specified sector, or with the international organisation.",– international data transfer: transfer of personal data to a foreign country or to an international entity of which the country is a member;,0.371415077
,promote the exchange of knowledge and documentation on data protection legislation and practice with data protection supervisory authorities worldwide.,data protection.”,0.370308417
,"the accuracy of the personal data is contested by the data subject, for a period enabling the controller to verify the accuracy of the personal data;","– quality of the data: guarantee to the data subjects of the accuracy, clarity, relevancy and updating of the data, in accordance with the need and for achieving the purpose of the processing;",0.369274955
,"any judgment of a court or tribunal and any decision of an administrative authority of a third country requiring a controller or processor to transfer or disclose personal data may only be recognised or enforceable in any manner if based on an international agreement, such as a mutual legal assistance treaty, in force between the requesting third country and the union or a member state, without prejudice to other grounds for transfer pursuant to this chapter.",– international data transfer: transfer of personal data to a foreign country or to an international entity of which the country is a member;,0.368714576
,the board shall adopt its own rules of procedure by a two-thirds majority of its members and organise its own operational arrangements.,- its own legal advisory body; and,0.368372032
,the exercise of the right referred to in paragraph 1 of this article shall be without prejudice to article 17. that right shall not apply to processing necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.,"§5 in the exercise of the powers referred to in the lead sentence of this article, the relevant authority shall ensure the preservation of industrial and information secrecy, in the terms of the law.",0.368237718
,"the controller shall provide a copy of the personal data undergoing processing. for any further copies requested by the data subject, the controller may charge a reasonable fee based on administrative costs. where the data subject makes the request by electronic means, and unless otherwise requested by the data subject, the information shall be provided in a commonly used electronic form.",- data portability of data when requested by the data subject; or,0.368215208
,"processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’).","– security: use of technical and administrative measures which are able to protect personal data from unauthorized accesses and accidental or unlawful situations of destruction, loss, alteration, communication or dissemination;",0.367621697
,the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject and to object to processing as well as the right to data portability;,i – confirmation of the existence of the processing; ii – access to the data;,0.367449969
,the controller or the processor shall publish the contact details of the data protection officer and communicate them to the supervisory authority.,– the controller’s contact information;,0.366386589
,the risks to the rights and freedoms of data subjects; and,– the risks related to the incident;,0.366365135
,the measures and safeguards provided to protect the rights and freedoms of data subjects pursuant to this regulation;,– the compliance with the general principles of personal data protection and data subjects’ rights as provided in this law;,0.366035046
,"describe the measures taken or proposed to be taken by the controller to address the personal data breach, including, where appropriate, measures to mitigate its possible adverse effects.",– measures to reverse or mitigate the effects of the incident.,0.365956495
,processing is necessary to protect the vital interests of the data subject or of another natural person where the data subject is physically or legally incapable of giving consent;,– with the consent of the data subject;,0.364921029
,the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject or to object to processing as well as the right to data portability;,i – confirmation of the existence of the processing; ii – access to the data;,0.364185564
,"infringements of the following provisions shall, in accordance with paragraph 2, be subject to administrative fines up to 10 000 000 eur, or in the case of an undertaking, up to 2 % of the total worldwide annual turnover of the preceding financial year, whichever is higher:","– simple fine of up to two percent (2%) of a private legal entity’s, group or conglomerate revenues in brazil, for the prior financial year, excluding taxes, up to a total maximum of fifty million reais (r$ 50,000,000.00) per infraction;",0.363375616
,to order the suspension of data flows to a recipient in a third country or to an international organisation.,– international data transfer: transfer of personal data to a foreign country or to an international entity of which the country is a member;,0.363205128
,"infringements of the following provisions shall, in accordance with paragraph 2, be subject to administrative fines up to 20 000 000 eur, or in the case of an undertaking, up to 4 % of the total worldwide annual turnover of the preceding financial year, whichever is higher:","– simple fine of up to two percent (2%) of a private legal entity’s, group or conglomerate revenues in brazil, for the prior financial year, excluding taxes, up to a total maximum of fifty million reais (r$ 50,000,000.00) per infraction;",0.362636993
,"where processing is to be carried out on behalf of a controller, the controller shall use only processors providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that processing will meet the requirements of this regulation and ensure the protection of the rights of the data subject.","§5 guarantees that are sufficient for compliance with the general principles of protection and data subject’s rights referred to in the lead sentence of this article shall also be analyzed in accordance with the technical and organizational measures adopted by the processor, according to the provisions of §§1 and 2 of art. 46 of this law.",0.361148967
,"the controller has implemented appropriate technical and organisational protection measures, and those measures were applied to the personal data affected by the personal data breach, in particular those that render the personal data unintelligible to any person who is not authorised to access it, such as encryption;","§3 when judging the severity of the incident, there will be an analysis of eventual demonstrations that, within the scope and the technical limits of the services, adequate technical measures were adopted to render the affected personal data unintelligible to third",0.358656834
,"where personal data are processed for scientific or historical research purposes or statistical purposes, union or member state law may provide for derogations from the rights referred to in articles 15, 16, 18 and 21 subject to the conditions and safeguards referred to in paragraph 1 of this article in so far as such rights are likely to render impossible or seriously impair the achievement of the specific purposes, and such derogations are necessary for the fulfilment of those purposes.","§7 the subsequent processing of the personal data referred to in paragraphs 3 and 4 of this article may be carried out for new purposes, provided that legitimate and specific purposes to the new processing and the preservation of the rights of the data subject are observed, as",0.358656547
